"","x"
"141","Bahubali Woh watching a filmIndias reply to Hollywood moviesspecial effects are superbtook 3 yrs and most expensive film"
"142","10 characters in Bahubali who can also be found in Software industry"
"143","Bahubali makes a regal entrance into the 300 crore clubBahubalistorm"
"144","Waiting 4 Bahubali the conclusion2016"
"145","Would you want to watch BahubaliThe Beginning in 3D a month before the release of the 2nd pa in a cinema in 2016 Opinions please"
"146","if you would have acted in bahubali which character would you prefer Hero or Villain"
"147","and today mng shows also fulls with crowd Bahubali Bahubali Bahubali sainyam la unnaru audience"
"148","can u provide weekend day wise gross collection of BajrangiBhaijaan any Bahubali Plz urgent for some idiots"
"149","Cancel office and call her surprisingly for back to back show of Bahubali and BajrangiBhaijaan  whatwomenlove"
"150","I wanted to know whatthought about BahuBali Completely agree with her on the film Downright misogynist film"
"151","Bahubali 255 crores in 7 days"
"152","Bahubali 10days APTG sharesNizam2844Ceeded1570 Nellore287Guntur682Krishna472 West533 East632UA667"
"153","Bahubali ssrajamoulijust came out watching it A true tribute to 100 years of cinema It shows power of cinema"
"154","did you review the movie though Bahubali"
"155","Bahubali 9 Days 300 CrBajrangiBhaijaan 3 Days 100 Cr"
"156","All were laughing at me when i said ki Bahubali Hindi will collect 100 cr By the end of this week it will touch minimum 72 Cr"
"157","All the gold Sigh Shouldve invested in Bahubali instead"
"158","I havent seen Bahubali havent take a dip in godavari Will anything happenthinking about my future in"
"159","Give us a reason to pay astronomical ticket prices or give us a reason 2 stay home and watch tv Bahubali BajrangiBhaijaan ndtv24x7 JDJ8"
"160","found a ticket towatch Bahubali this weekend couldnt afford to blink and cant wait for 2016 to watch pa 2kudos"
"161","If Avantika was symbolically raped in BahubaliWhat did Mary do in Brothers Shiela in TSKThat a symbolic gang rape or liberal orgy"
"162","Bahubali review the makers seem to have loved TheLionKingHowever this film is NOT to be missed Storytelling and grandeur Together"
"163","Evry INDIAN shld b proud of RaOnesVFXCoz ppl invlvd in VFX r all IndiansIn Bahubali alng wid Indianskoreanampchineses also invlvd in VFX"
"164","we can say people now are educated when Bahubali is higher grossing movie than other gross films Bhaikifilm NotMe MyDriverWroteThis"
"165","so how how much u took for negative publicity on bahubalippl like u cant poray good in bad light"
"166","Height of hypocrisy Fanatics comparing d success of PK vs Bahubali wid religion lenswud NeverImaginedAbout"
"167","Stop comparing Bahubali with bhajrangi bhaijan Bahubali is all together in different league First indian movie of its type"
"168","Did you found any resemblance of yourself in the tribal character of Bahubali "
"169","The power of Baahubali Why Cant China Make A Movie Like BaahubaliviaBahubali"
"170","There is no match in between Bahubali ampBajrangiBhaijaanBahubali is a master piece workonly TheHobittTheLordOfTheRings are in match"
"171","We need to have a Bhallaladeva vehicle to travel anywhere in BangaloreTraffic especially near SilkBoardBahubali"
"172","yes it enjoys highest degree of suspension of disbelief because its Bahubali GM"
"173","Please drink at least two cup of bournvita with milk and almonds before coming to watch bahubali movie is not for underdevelop mind"
"174","Bahubali steady in its Hindi version in second weekend despite the onslaught by BajrangiBhaijaanB2B BB ie BB n BB"
"175","A grand herocentric movie can only be impactful if villian is powerfulGreat workyou made Bahubali shine"
"176","Experienced Bahubali 3rd Time The intensity of the film is so high u cant imagine Bahubali MAJESTJC MAGNIFICENT amp overall MESMERISING"
"177","Though BajrangiBhaijaan was much better thanprevious ones IMO Bahubali was overall better"
"178","Bahubali Superstar IllayaThalapathy versionIf u agree Retweet"
"179","superb movie bahubali"
"180","The most epic fantasy of Indian movie epicfantasy Bahubali"
"181","Please learn how to shut your brain off before watching Bahubali Youll need it"
"182","speaking of innovation creating amp global standards Modiji watch Bahubali once You will be PROUD"
"183","Wht are you saying i payed Rs150 on first day late nite show Bahubali"
"184","So this is da diffrnceSurely Bahubali makers mightve asked for tax break amp may notve got BajrangiBhaijaan Salman begs for it publicly"
"185","What I wouldcall a magnumopusA tribute to Indian techie skills Bahubali"
"186","Exactly what I thought tooAfter Padayappa this HAS to be her best Bahubali"
"187","Bahubali joined AAP and his degree was also fake "
"188","Dont compare Bahubali opening collection to BajrangiBhaijaanBahubali openedrs1000ticketwhile Bhais opened Rs 260"
"189","maari 3063 lakhs 10 screensBahubali 9086 lakhs8 screensPapanasam 5708 lakhs4 screens Australia Box office"
"190","If you saw Bahubali and have been defending it for the sake of A Please read this aicle by"
"191","Nail meet headon how Bahubali and Indian cinema in general misrepresent consent"
"192","BahuBaLi CrosseS 100 crs only in 2 Days AwesOMe MoViEThn BaJe BhaIJaN"
"193","Bahubali might be rightly aggrieved for being called out on something almost every Indian film is guilty of"
"194","Still cant understand how this movie is a big hit Marketing amp PR magic Bahubali"
"195","Many of Bahubali scenes amp dialogues are a ripoff from 300 Prince of Persia Exodus amp many others Theyre not even comparable to original"
"196","Maari 3039 lakhs 6 screens 1st weekPapanasam 63 lakhs 1 screen3rd weekBahubali 6606 lakhs 5 screens2nd weekUK BOX OFFICE"
"197","Cant believe the movie Bahubali has 93 rating onwhich is what ShawshankRedemption also has"
"198","Bond movies Transformers Jurassic FampF Marvell movies and next der say Bahubali Bhaubali its a brand"
"199","Bahubali Enters 300crore club Times of India news"
"200","salman took 8 movies to 100 cr club BahubaliA single movie Has already 3 100 cr club bahubali salman"
"201","Bahubali movie is more of pure hype amp less of substance In fact my respect forhas multiplied RaOne had awesome special effects"
"202","prabhas watching bahubali with fans Sudharshan theatre"
"203","Bahubali Funny MemesPhotos"
"204","I saw it twice because it was so enjoyable and also I wanted to suppo such a good filmBahubali"
"205","Bahubali absolutely blown away by the music especially Maahishmati"
"206","2 miniutes silence for those who watched BajrangiBhaiJaan expect Bahubaliand still praising Salman khanp"
"207","Last week Bahubali this week BajrangiBhaijaan Its raining blockbusters The industry is back on a roll Hoping"
"208","1st Biggest Opener is Bahubali 2nd Opener Of Bollywood in India is HappyNewYear44 Crore"
"209","Bahubali do u love the movie"
"210","Youre the first one who came up with any linkage between tribals and those characters of Bahubali"
"211","One issue with Bahubali was the inseion of CGI in scenes where an animated cow or elephant was featured That was distracting"
"212","Bhai Ramzan me to Bahubali Bhi aayi thi Usne to Dhamal Macha diya Salman cant break Opening Records of SRK"
"213","Maari collects 12c27 screens 1st weekPapanasam 981 lacs 10 screens3rd weekBahubali110c 17 screens 2nd week malaysia"
"214","Free movie tickets with all orders above Rs1000 only atBahubali shoppershour"
"215","Bahubali features a lot of great things One of them is Ramya Krishnans epic comeback She takes the prize for badassdom"
"216","Bahubali in one word Epic"
"217","single screen hall whr i wntd to watch Bahubali is nw showing Bajrangi i like to go for a film in its 2nd3rd wk coz its easy fun viewng"
"218","Finally watched Bahubali This iss magnum opus Actually this is Indian Cinemas magnum opus Truly spectacular"
"219","Afghani Kabuli Fatty Aamir Khan loves the Porki character in BajrangiBhaijaanAwww He hates Hindu icons depicted in Bahubali"
"220","Have been informed that Afghan Midget Hippo Aamir Khan was weeping after seeing Porki love film BajrangiBhaijaan Nothing for Bahubali"
"221","on the needless public discourse on sexism in Bahubali"
"222","very well aiculated Column RapeOfAvanthika Let trolls bark Bahubali"
"223","Need to wait for this Bahubali "
"224","Never seen this much craze for any Telugu or dubbed movie in Navi Mumbai Most discussed topic is y kattappa killed Bahubali "
"225","Kattappa killed Bahubali because he found that BB became a Hindu fundamentalist after ascending the throne"
"226","sir stats for Bahubali telugu collections in India so far"
"227","One of the legendary movie made in Indian cinema and eagerly waiting for pa 2 epic montrous thunderousBahubali"
"228","Sir Who invented water proof inkStudent Bahubalis son Shiva SirStudent Coz he made tattoo on heroines hand even in water"
"229","Bahubali has held up extremely well on the weekend despite facing a tough competition with Bajrangi Bhaijaan"
"230","Bahubali crosses 300 crores in 9 days Biggest super hit ever Jaimaheshwati "
"231","Funny to see some cribbing atBahuBali success advising SM to disc real issuestime to rise above petty cast creed region n applaud"
"232","bahubali nizam 1507wed 232crs 1907 Sun 288Crsjus 50l differenceweekday ki weekend ki e roju 25c expecting Bahubalistorm"
"233","BOCapsule EXCLUSIVE HUGE 59 cr plus in Hindi 2nd Weekend Box Office Collection Of BAHUBALI"
"234","AD day1 WW ni day 9 n day10 clctns tho left leg tho thannadu anta gaa15crs 15crs30crs from Sat and Sun Bahubali Bahubalistorm"
"235","broken all records Bahubali"
"236","Bahubali is on 10th position on IMDB Amazing"
"237","this is what happens when you use up all of your budget in the first film PBahubalistorm Bahubali"
"238","BajarangiBhaijaan 35 ratingsBahubali 45 ratingsChoose d movie to watch dis week"
"239","Ranveer Singh watched Bahubali last night"
"240","How much is Bahubali 1st weekend number all versions"
"241","This movie will breaks all records in india and one epic legend movie created by Gods visionBahubali"
"242","Eid occasion5000 Screenshealthy weekendyet BajrangiBhaijaan failing to beat Bahubali 4000 in StoryCollectionSuppo all aspects"
"243","Now Bahubali is what I called Grandest Mega Block Busterjust look at the frame OM which it is built"
"244","WhyEvoke Gods NameI know You Know amp We All Know What he was Looking for in Bahubali Dont We"
"245","Bahubali Enters 300 Crore Club Shatters Rajinikanths Enthiran Record"
"246","After Bahubali n BajrangiBhaijaan waiting for AdarshLiberals to pass the verdict as Saffronization of Bollywood"
"247","Do you want to get noticedwrite something untrue or sensational abt Bahubalithese pathetic people"
"248","Either Bahubali is really fun or it was the pot Hilariousunintendedscenes along with some great VFX work sums up the movie"
"249","Bahubali truly amazing"
"250","I dont know ways the hype behind bahubali but its pathetic"
"251","I loved Bahubali But for that 1 scene of sheer irresponsibility Read s piece amp think abt it again"
"252","So amazing movie bahubali loved itsir g work by actor tooprabhas"
"253","Best of south indian movies Awesome story jaw dropping VFX Bahubali"
"254","was Bahubali a high budget homage to Br Chopra Ramanand Sagar seen it on big screen will watch it on TV when they air it to confirm this"
"255","so AmirKahn was in tears publicity stunt so much for BajrangiBhaijaan one movie Bahubali and Khans already feeling heat"
"256","2 of the hottest men came together in 1 movie amp I cant watch it cuz I live in a place that doesnt show Telugu moviesBahubali"
"257","BajrangiBhaijaan 100cr in 3 daysDhoom3 100cr 3 daysHNY 100cr 3 daysLingaa 100cr 3 daysBahubali 100cr 2 days All time record"
"258","Add fragrance to your attire with Necklace SetVoylla NecklaceSetBahubali"
"259","Bahubali and Papanasam shows are rock steady but Maari shows staed depleting fast already as WOM is bad"
"260","please release Hindi version in USA market We are eagerly waiting for it Bahubali"
"261","theres an editing mistake ib Bahubali so what I just love the whole movie and its picturization"
"262","How am I supposed to focus when Rana and Prabhas are sharing the same screen in Bahubali Itss a hea attack waiting to happen"
"263","Such a nice movie Thanks to the makersFelt so proud after seeing it Bahubali"
"264","The RapeOfAvanthikathis column on the romanticisation of sexual violence in Bahubali amp other Indian films"
"265","Really enjoyed Bahubali Very enteaining movie with universal appeal in my mother tongue Bahubali Well done Rajamouli Sir"
"266","And this ladies and gentlemen is how a woman is tamed Bahubali"
"267","And then I saw Bahubali a slick wasteland of sexism casteism and other such hallmarks of our cinema What a waste"
"268","Seen some people tweeting Bahubali is the best work ever made These people havent seen Japanese animes top English Korean series"
"269","Did we ever see people likecommenting on Movies WOW They are Burning Burning Hahahaha Bahubali"
"270","Superb outstanding magnificentmarvellous film Bahubali Hats offandYou are competing with Hollywood"
"271","scriptstory ofBajarangiBhaijaan amp Bahubaliis written by V Vijayendra Prasad both rocking on BoxOffice"
"272","A good review of Bahubali by Explains how the story is modelled after the national epic of the bhAratas"
"273","Its interesting how biggest opening of the year keeps changingTanuWedsManuReturns PIkku ABCD2 Bahubali n now BajrangiBhaijaan"
"274","Bahubali and BajrangiBhaijaan cant be comparedboth differ excessively in terms of genre treatment and fan following"
"275","Bahubali meters up from 43rd to 10th Position in IMDB"
"276","while I respect your opinion on potrayal of avantika in Bahubali why single out this film"
"277","Bahubali 10 daysNizam 2844 CroreCeeded 1560 CroreEast 631 CroreKrishna 471 CroreNellore 287 Crore"
"278","s column hits the nail on d head of those romanticising sexual violence ViaBahubali"
"279","the shocking thing is 95 rating I wonder what kind of paid critics they are who gave 95 rating to an illogical Bahubali movie"
"280","AweSoMe MovIElt3Bahubaliwatching Baahubali"
"281","Bahubali could be overwhelming to those who have never watched 300 Spaacus Game of thrones Hobbit and Avatar"
"282","Maari Released Kerala Karanatal 120 Screens due to Bahubali Not more screens We can expect 15 c From Kerala and Karnataka"
"283","I hv heard a Lot about Ajiths goodwill Rana has also told Thala is a very good person  Bahubali Prabhas "
"284","Take a bow for Bahubali Rajamouli and the vfx team Splendid work I wish there were no songs but I know Im a minority in that matter"
"285","Bahubali is a super fantasy fiction attempt Prabhas is good but for me its ranadaggubati who is the more enigmatic of the two"
"286","WatchingBahubali 2nd tym Hvng fun withfriends"
"287","Bahubali The most illogical thing was to show Snow in South India just for the sake of copy a scene from IceAge movie"
"288","nah go watch Bahubali againI did I felt its impoant to give the better aists my suppo and get fuher enjoyment"
"289","why so serious sir Another tweet against Bahubali Any personal vendetta against Bahubali"
"290","Bahubali is my first movie with my wifeRealy Awesometo watchNo boring for even a nano secondI sat at the tip of my seat"
"291","Bahubali On first look the movie appears Avatar then IceAge and the end of story was totally spoiled"
"292","Yesterday i watched Bahubali tamil version inchennai I never saw such a flim in my life time"
"293","Bahubali tickets FREElulumall fromFREE home delivery with COD10 Discount"
"294","Am convinced that Dawood company is sore about Bahubali release timing Look at the secular howls"
"295","The Kalakeya tribe has a striking resemblance to the Dothraki Bahubali"
"296","Kyi cinemas mein se to Bahubali ko 1 week k liye hata diya gya haiso tht BajrangiBhaijaan shld get max no Of shows as its gng housefull"
"297","OMFG These people instead of being journalists can become story writers Bahubali Presstitutes "
"298","Power of writerviaDirectorSSRajamouli bahubali bajarangibhaijaan"
"299","Today its my second round for Bahubali felling awesome"
"300","After Poor ShowMaari replaced by Bahubali within 1 week"
"301","Twitter khaliiiii ho gayaaaa timeline clear all went to watch Bahubali and BajrangiBhaijaanKidding technical problem"
"302","Sachin Tendulkar version of bahubaliChinmay Jewels"
"303","bahubali weaves special effects magic BUT BajrangiBhaijaan runs on pure SalmanKhan Magic"
"304","I would like to do Tamil Films Says PrabhasRead Baahubali Bahubalistorm Bahubali"
"305","bahubali weaves special effects magic BUT BajrangiBhaijaan runs on pure SalmanKhan Magic"
"306","So rest of the year is going to be spent on reading all these ingenious speculations on why kattappa killed Bahubali seniorcannotableto"
"307","Bahubali Guess who composed d enthralling Shiv Tandav Stotram playing in the backgroundAns Ravan"
"308","BajrangiBhaijaanLove Respect for Religion Touchy Have put JAAN in Bollywood EmotionalBahubaliEpic"
"309","Bahubali 300crs in 9 days is Awesome"
"310","Bahubali film shows fight between Dravidianskalakeya and Noh Indians Chutiyas like these should kicked in"
"311","Bahubali is a superlative filmIt proves dat 1can imagine d world beyond d imagination amp convince ppl to trust"
"312","BajrangiBhaijaan is a far btr movie in terms of story emotional content acting if cmprd with BahubaliGo n watch BajrangiBhaijaan"
"313","This is how we uphold our faith Bahubali"
"314","Bahubali those who says movie dont have story in reality they didnt understand story"
"315","The rape of Avanthika Bahubali"
"316","Is in love with Bahubali"
"317","Nothing logical in Bahubali except of special effects Story was illogical and unfinished Scene were copied from Hollywood movies"
"318","I dont like South Indian movies yet I dared to watch Bahubali as it was rated 9510 My expectations were high but It was a disaster"
"319","Bahubalispectacular movie superb star cast amazing background scorehats off to the entire team"
"320","300 crore in 9 days Bahubali creates history"
"321","ICYMI I write about the troublesome way S Indian film equates getting the girl with taming the shrew Bahubali"
"322","Bahubali yloved that scene of Mrityu kya hai awesome explanation and presentation"
"323","I have quit the idea of watching Bahubali after reading this piece"
"324","not evn near to smaa journo lukng fr sensationalism BaahubaliStorm Baahubali Bahubali"
"325","Bahubali Crossed Three Hundred Crore MarkIt seems that there is nothing going to stop B"
"326","Bahubali becomes first south indian movie to earn 300 crores in just 9 dayscongrats"
"327","you were awesome in Bahubali great intensity your hard work shows on screenhats off"
"328","you are simply brilliant Bahubali is one epic movie that all Indians could be proud of eagerly waiting for the 2nd pa"
"329","Went to watch Bahubali but they were screening only Telugu version not the dubbed hindi"
"330","Central Gov must order CBI Inquiry to find Why Kattappa Killed Bahubali"
"331","Bahubali Butterflies"
"332","After Bahubali and BajrangiBhaijaanthe idea of India secularism is in danger some one need to make a movie like Haider"
"333","BAHUBALI khammam 10 days total town gross 8450000"
"334","Indian film fans check out BahubaliShowing in Tamil amp Telugu amp opening in Hindi on 724 For times amp tix visit"
"335","on the rape of Avanthika in Bahubali and how we romanticise sexual violence And no dont chill"
"336","BB officially beatsBahubali net collections India nbecomes first IndianFilm to collect 100crWeekend Bahubali was 99cr"
"337","thalaspeaks Bahubali star Prabhas about Thala Cc"
"338","Dont agree with s review on Bahubali Feminist tadka thoda zyada ho gaya I thinkBut whats with the personal attacks man"
"339","i dun mind actuallyIm going for my third round nowBahubali"
